gene,transcripts,chromosome,position,strand,annotation source
NOMO3,ENST00000399336.4,chr16,16326351,+,GENCODE
NONO,"ENST00000276079.8,ENST00000373841.1,ENST00000373856.3",chrX,70503451,+,GENCODE
NOP10,ENST00000328848.4,chr15,34635377,-,GENCODE
NOP14,"ENST00000314262.6,ENST00000416614.2",chr4,2965102,-,GENCODE
NOP16,ENST00000389158.5,chr5,175815975,-,GENCODE
NOP2,ENST00000322166.5,chr12,6677489,-,GENCODE
NOP2,ENST00000537442.1,chr12,6677127,-,GENCODE
NOP56,ENST00000329276.5,chr20,2632790,+,GENCODE
NOP58,ENST00000264279.5,chr2,203130438,+,GENCODE
NOP9,ENST00000267425.3,chr14,24769067,+,GENCODE
NOS1,ENST00000317775.6,chr12,117799581,-,GENCODE
NOS1AP,"ENST00000361897.5,ENST00000530878.1",chr1,162039564,+,GENCODE
NOS2,ENST00000313735.6,chr17,26127524,-,GENCODE
NOS3,ENST00000297494.3,chr7,150688082,+,GENCODE
NOSIP,"ENST00000339093.3,ENST00000391853.3,ENST00000596358.1",chr19,50083814,-,GENCODE
NOSTRIN,ENST00000317647.7,chr2,169658927,+,GENCODE
NOTCH1,ENST00000277541.6,chr9,139440313,-,GENCODE
NOTCH2,ENST00000256646.2,chr1,120612239,-,GENCODE
NOTCH2NL,"ENST00000344859.3,ENST00000362074.6",chr1,145209118,+,GENCODE
NOTCH2NL,ENST00000369340.3,chr1,145224598,+,GENCODE
NOTCH3,ENST00000263388.2,chr19,15311791,-,GENCODE
NOTCH4,ENST00000375023.3,chr6,32191843,-,GENCODE
NOTO,ENST00000398468.3,chr2,73429385,+,GENCODE
NOTUM,ENST00000409678.3,chr17,79919168,-,GENCODE
NOV,ENST00000259526.3,chr8,120428545,+,GENCODE
NOVA1,ENST00000465357.2,chr14,27066691,-,GENCODE
NOVA1,ENST00000539517.2,chr14,27066959,-,GENCODE
NOVA2,ENST00000263257.5,chr19,46476803,-,GENCODE
NOX1,ENST00000372966.3,chrX,100129333,-,GENCODE
NOX3,ENST00000159060.2,chr6,155777036,-,GENCODE
NOX4,ENST00000263317.4,chr11,89224652,-,GENCODE
NOX5,"ENST00000388866.3,ENST00000530406.2",chr15,69307034,+,GENCODE
NOX5,ENST00000455873.3,chr15,69222972,+,GENCODE
NOXA1,ENST00000341349.2,chr9,140317801,+,GENCODE
NOXO1,"ENST00000354249.4,ENST00000356120.4",chr16,2031508,-,GENCODE
NOXO1,"ENST00000397280.4,ENST00000566005.1",chr16,2031183,-,GENCODE
NOXRED1,ENST00000380835.2,chr14,77889398,-,GENCODE
NPAP1,ENST00000329468.2,chr15,24920540,+,GENCODE
NPAS1,ENST00000449844.2,chr19,47524142,+,GENCODE
NPAS1,ENST00000602212.1,chr19,47523076,+,GENCODE
NPAS2,ENST00000335681.5,chr2,101436613,+,GENCODE
NPAS2,ENST00000542504.1,chr2,101437486,+,GENCODE
NPAS3,"ENST00000341321.4,ENST00000346562.2,ENST00000356141.4,ENST00000357798.5,ENST00000548645.1",chr14,33408485,+,GENCODE
NPAS3,ENST00000547068.1,chr14,33682883,+,GENCODE
NPAS3,ENST00000551008.1,chr14,33684418,+,GENCODE
NPAS4,ENST00000311034.2,chr11,66188474,+,GENCODE
NPAT,ENST00000278612.8,chr11,108093368,-,GENCODE
NPB,ENST00000333383.7,chr17,79859984,+,GENCODE
NPBWR1,ENST00000331251.3,chr8,53850990,+,GENCODE
NPBWR2,ENST00000369768.1,chr20,62738523,-,GENCODE
NPC1,ENST00000269228.5,chr18,21166861,-,GENCODE
NPC1L1,ENST00000381160.3,chr7,44580913,-,GENCODE
NPC2,ENST00000555619.1,chr14,74960214,-,GENCODE
NPDC1,ENST00000371601.4,chr9,139940654,-,GENCODE
NPEPL1,ENST00000356091.6,chr20,57267668,+,GENCODE
NPEPPS,ENST00000322157.4,chr17,45608429,+,GENCODE
NPFF,ENST00000267017.3,chr12,53901421,-,GENCODE
NPFFR1,ENST00000277942.6,chr10,72043431,-,GENCODE
NPFFR2,ENST00000358749.3,chr4,72905090,+,GENCODE
NPHP1,ENST00000445609.2,chr2,110962568,-,GENCODE
NPHP3,ENST00000337331.5,chr3,132441285,-,GENCODE
NPHP4,ENST00000378156.4,chr1,6052530,-,GENCODE
NPHS1,ENST00000378910.5,chr19,36342738,-,GENCODE
NPHS2,ENST00000367615.4,chr1,179545067,-,GENCODE
NPIPA1,ENST00000328085.6,chr16,15031299,+,GENCODE
NPIPA2,"ENST00000529166.1,ENST00000530328.1",chr16,14841922,+,GENCODE
NPIPA3,"ENST00000526520.1,ENST00000531598.2",chr16,14802800,+,GENCODE
NPIPA5,ENST00000534094.1,chr16,15474903,-,GENCODE
NPIPA7,ENST00000327792.5,chr16,16481597,+,GENCODE
NPIPA7,ENST00000530217.2,chr16,16472911,+,GENCODE
NPIPA8,ENST00000339303.5,chr16,18441130,-,GENCODE
NPIPA8,ENST00000525596.1,chr16,18430592,-,GENCODE
NPIPB11,ENST00000524087.1,chr16,29415349,-,GENCODE
NPIPB15,ENST00000429990.1,chr16,74411775,+,GENCODE
NPIPB3,ENST00000448012.2,chr16,21436458,-,GENCODE
NPIPB4,ENST00000415645.2,chr16,21868738,-,GENCODE
NPIPB5,"ENST00000424340.1,ENST00000517539.1",chr16,22524868,+,GENCODE
NPIPB6,ENST00000532254.1,chr16,28374828,-,GENCODE
NPIPB8,ENST00000529716.1,chr16,28648974,+,GENCODE
NPIPB9,ENST00000435324.2,chr16,28770024,+,GENCODE
NPL,ENST00000258317.2,chr1,182763484,+,GENCODE
NPL,ENST00000367553.1,chr1,182761393,+,GENCODE
NPLOC4,ENST00000331134.6,chr17,79604171,-,GENCODE
NPM1,ENST00000296930.5,chr5,170814651,+,GENCODE
NPM1,ENST00000517671.1,chr5,170814119,+,GENCODE
NPM2,ENST00000397940.1,chr8,21881644,+,GENCODE
NPM3,ENST00000370110.5,chr10,103543169,-,GENCODE
NPNT,"ENST00000427316.2,ENST00000506666.1",chr4,106816623,+,GENCODE
NPNT,ENST00000503451.1,chr4,106816809,+,GENCODE
NPPA,ENST00000376480.3,chr1,11907839,-,GENCODE
NPPB,ENST00000376468.3,chr1,11918987,-,GENCODE
NPPC,"ENST00000295440.2,ENST00000409852.1",chr2,232791074,-,GENCODE
NPR1,ENST00000368680.3,chr1,153651112,+,GENCODE
NPR2,ENST00000342694.2,chr9,35792150,+,GENCODE
NPR3,ENST00000265074.8,chr5,32711539,+,GENCODE
NPR3,ENST00000415167.2,chr5,32711828,+,GENCODE
NPRL2,ENST00000232501.3,chr3,50388521,-,GENCODE
NPRL3,ENST00000399953.3,chr16,188668,-,GENCODE
NPS,ENST00000398023.1,chr10,129347612,+,GENCODE
NPSR1,ENST00000360581.1,chr7,34697896,+,GENCODE
NPTN,"ENST00000345330.4,ENST00000545878.1,ENST00000563691.1",chr15,73925693,-,GENCODE
NPTX1,ENST00000306773.4,chr17,78450403,-,GENCODE
NPTX2,ENST00000265634.3,chr7,98246608,+,GENCODE
NPTXR,ENST00000333039.2,chr22,39239986,-,GENCODE
NPVF,ENST00000222674.2,chr7,25268104,-,GENCODE
NPW,ENST00000566435.1,chr16,2069545,+,GENCODE
NPY,"ENST00000242152.2,ENST00000407573.1",chr7,24323793,+,GENCODE
NPY,ENST00000405982.1,chr7,24324725,+,GENCODE
NPY1R,ENST00000296533.2,chr4,164254013,-,GENCODE
NPY2R,"ENST00000329476.3,ENST00000506608.1",chr4,156129833,+,GENCODE
NPY4R,ENST00000374312.1,chr10,47083533,+,GENCODE
NPY4R,ENST00000395716.1,chr10,47085663,+,GENCODE
NPY5R,"ENST00000338566.3,ENST00000515560.1",chr4,164265171,+,GENCODE
NPY5R,ENST00000506953.1,chr4,164271370,+,GENCODE
NQO1,ENST00000320623.5,chr16,69760853,-,GENCODE
NQO2,"ENST00000338130.2,ENST00000380430.1,ENST00000380455.4",chr6,3000276,+,GENCODE
NR0B1,ENST00000378970.4,chrX,30327714,-,GENCODE
NR0B2,ENST00000254227.3,chr1,27240456,-,GENCODE
NR1D1,ENST00000246672.3,chr17,38256977,-,GENCODE
NR1D2,ENST00000312521.4,chr3,23986750,+,GENCODE
NR1H2,ENST00000253727.5,chr19,50879725,+,GENCODE
NR1H2,ENST00000593926.1,chr19,50880501,+,GENCODE
NR1H3,"ENST00000441012.2,ENST00000467728.1",chr11,47279520,+,GENCODE
NR1H4,ENST00000392986.3,chr12,100867693,+,GENCODE
NR1H4,ENST00000548884.1,chr12,100867485,+,GENCODE
NR1I2,ENST00000337940.4,chr3,119501556,+,GENCODE
NR1I3,"ENST00000367982.4,ENST00000367983.4",chr1,161208021,-,GENCODE
NR2C1,ENST00000333003.5,chr12,95467478,-,GENCODE
NR2C2,ENST00000393102.3,chr3,15003913,+,GENCODE
NR2C2,ENST00000406272.2,chr3,15045421,+,GENCODE
NR2C2,ENST00000425241.1,chr3,14989090,+,GENCODE
NR2C2AP,ENST00000331552.7,chr19,19314232,-,GENCODE
NR2E1,ENST00000368986.4,chr6,108487261,+,GENCODE
NR2E3,"ENST00000326995.5,ENST00000561604.1",chr15,72084976,+,GENCODE
NR2E3,"ENST00000398840.2,ENST00000562839.1,ENST00000567496.1",chr15,72102905,+,GENCODE
NR2E3,ENST00000562925.1,chr15,72103472,+,GENCODE
NR2E3,ENST00000563709.1,chr15,72109800,+,GENCODE
NR2F1,ENST00000327111.3,chr5,92919042,+,GENCODE
NR2F2,ENST00000394166.3,chr15,96873945,+,GENCODE
NR2F6,ENST00000291442.3,chr19,17356748,-,GENCODE
NR3C1,"ENST00000231509.3,ENST00000394464.2",chr5,142783258,-,GENCODE
NR3C1,ENST00000343796.2,chr5,142815076,-,GENCODE
NR3C1,ENST00000394466.2,chr5,142783693,-,GENCODE
NR3C1,ENST00000503201.1,chr5,142784108,-,GENCODE
NR3C1,ENST00000504572.1,chr5,142814266,-,GENCODE
NR3C2,ENST00000344721.4,chr4,149365849,-,GENCODE
NR3C2,ENST00000358102.3,chr4,149363671,-,GENCODE
NR4A1,"ENST00000243050.1,ENST00000394824.2,ENST00000394825.1",chr12,52445201,+,GENCODE
NR4A2,ENST00000339562.4,chr2,157189227,-,GENCODE
NR4A2,ENST00000409572.1,chr2,157198859,-,GENCODE
NR4A3,ENST00000395097.2,chr9,102584136,+,GENCODE
NR5A1,ENST00000373588.4,chr9,127269708,-,GENCODE
NR5A2,ENST00000367362.3,chr1,199996729,+,GENCODE
NR5A2,ENST00000544748.1,chr1,200011716,+,GENCODE
NR6A1,"ENST00000344523.4,ENST00000373584.3,ENST00000416460.2,ENST00000487099.2",chr9,127533570,-,GENCODE
NRAP,ENST00000359988.3,chr10,115423885,-,GENCODE
NRARP,ENST00000356628.2,chr9,140196702,-,GENCODE
NRAS,ENST00000369535.4,chr1,115259514,-,GENCODE
NRBF2,ENST00000277746.6,chr10,64893049,+,GENCODE
NRBP1,ENST00000233557.3,chr2,27650656,+,GENCODE
NRBP1,ENST00000379852.3,chr2,27651506,+,GENCODE
NRBP2,ENST00000442628.2,chr8,144923145,-,GENCODE
NRCAM,ENST00000379028.3,chr7,108096825,-,GENCODE
NRCAM,ENST00000425651.2,chr7,107880507,-,GENCODE
NRD1,"ENST00000352171.7,ENST00000354831.7",chr1,52344476,-,GENCODE
NRD1,ENST00000539524.1,chr1,52343690,-,GENCODE
NRDE2,ENST00000354366.3,chr14,90798480,-,GENCODE
NREP,"ENST00000257435.7,ENST00000453526.2,ENST00000509427.1",chr5,111093052,-,GENCODE
NREP,ENST00000379671.3,chr5,111093420,-,GENCODE
NREP,"ENST00000419114.2,ENST00000446294.2,ENST00000508870.1",chr5,111093252,-,GENCODE
NREP,ENST00000447165.2,chr5,111091947,-,GENCODE
NREP,ENST00000450761.2,chr5,111333160,-,GENCODE
NREP,ENST00000455559.2,chr5,111093914,-,GENCODE
NRF1,"ENST00000223190.4,ENST00000393232.1",chr7,129251575,+,GENCODE
NRF1,ENST00000393230.2,chr7,129269908,+,GENCODE
NRG1,"ENST00000287842.3,ENST00000356819.4",chr8,32405755,+,GENCODE
NRG1,ENST00000405005.3,chr8,32406244,+,GENCODE
NRG2,ENST00000545385.1,chr5,139422878,-,GENCODE
NRG3,ENST00000372141.2,chr10,83635069,+,GENCODE
NRG4,ENST00000394907.3,chr15,76304784,-,GENCODE
NRGN,"ENST00000284292.6,ENST00000412681.2",chr11,124609840,+,GENCODE
NRIP1,"ENST00000318948.4,ENST00000400199.1,ENST00000400202.1",chr21,16437233,-,GENCODE
NRIP2,ENST00000337508.4,chr12,2944189,-,GENCODE
NRIP3,ENST00000309166.3,chr11,9025595,-,GENCODE
NRK,"ENST00000243300.9,ENST00000428173.2",chrX,105066535,+,GENCODE
NRL,ENST00000396997.1,chr14,24564338,-,GENCODE
NRL,ENST00000397002.2,chr14,24553833,-,GENCODE
NRL,ENST00000561028.1,chr14,24584222,-,GENCODE
NRM,ENST00000259953.4,chr6,30659196,-,GENCODE
NRM,ENST00000376421.5,chr6,30658768,-,GENCODE
NRN1,ENST00000244766.2,chr6,6007199,-,GENCODE
NRN1L,ENST00000339176.3,chr16,67918707,+,GENCODE
NRP1,ENST00000265371.4,chr10,33625189,-,GENCODE
NRP1,ENST00000374867.2,chr10,33623832,-,GENCODE
NRP2,ENST00000357785.5,chr2,206547983,+,GENCODE
NRP2,ENST00000540178.1,chr2,206547223,+,GENCODE
NRROS,ENST00000328557.4,chr3,196366556,+,GENCODE
NRSN1,ENST00000378491.4,chr6,24126349,+,GENCODE
NRSN2,"ENST00000382285.2,ENST00000382291.3",chr20,327707,+,GENCODE
NRTN,ENST00000303212.2,chr19,5823812,+,GENCODE
NRXN1,ENST00000401669.2,chr2,51259313,-,GENCODE
NRXN2,ENST00000265459.6,chr11,64490659,-,GENCODE
NRXN2,"ENST00000377551.1,ENST00000409571.1",chr11,64481398,-,GENCODE
NRXN3,ENST00000335750.5,chr14,79081274,+,GENCODE
NRXN3,ENST00000554719.1,chr14,78870092,+,GENCODE
NSA2,ENST00000296802.5,chr5,74062816,+,GENCODE
NSD1,ENST00000439151.2,chr5,176560925,+,GENCODE
NSDHL,"ENST00000370274.3,ENST00000440023.1",chrX,151999510,+,GENCODE
NSF,ENST00000398238.4,chr17,44668034,+,GENCODE
NSFL1C,ENST00000216879.4,chr20,1448336,-,GENCODE
NSL1,ENST00000366977.3,chr1,212965123,-,GENCODE
NSMAF,ENST00000038176.3,chr8,59572402,-,GENCODE
NSMCE1,ENST00000361439.4,chr16,27280114,-,GENCODE
NSMCE2,"ENST00000287437.3,ENST00000522563.1",chr8,126104102,+,GENCODE
NSMCE4A,ENST00000369023.3,chr10,123734731,-,GENCODE
NSMF,"ENST00000265663.7,ENST00000371474.3,ENST00000371475.3,ENST00000392812.4,ENST00000437259.1",chr9,140353785,-,GENCODE
NSRP1,ENST00000247026.5,chr17,28443798,+,GENCODE
NSUN2,ENST00000264670.6,chr5,6633403,-,GENCODE
NSUN2,ENST00000506139.1,chr5,6633154,-,GENCODE
NSUN3,ENST00000314622.4,chr3,93781759,+,GENCODE
NSUN4,ENST00000474844.1,chr1,46805848,+,GENCODE
NSUN5,"ENST00000252594.6,ENST00000310326.8,ENST00000428206.1,ENST00000438747.2",chr7,72722819,-,GENCODE
NSUN6,ENST00000377304.4,chr10,18940550,-,GENCODE
NSUN7,ENST00000381782.2,chr4,40751913,+,GENCODE
NT5C,ENST00000245552.2,chr17,73127889,-,GENCODE
NT5C1A,ENST00000235628.1,chr1,40137709,-,GENCODE
NT5C1B,"ENST00000304081.4,ENST00000359846.2,ENST00000600945.1",chr2,18770827,-,GENCODE
NT5C1B-RDH14,ENST00000532967.1,chr2,18770827,-,GENCODE
NT5C2,ENST00000343289.5,chr10,104953055,-,GENCODE
NT5C2,ENST00000404739.3,chr10,104934738,-,GENCODE
NT5C3A,ENST00000610140.1,chr7,33102390,-,GENCODE
NT5C3B,ENST00000435506.2,chr17,39992514,-,GENCODE
NT5DC1,ENST00000319550.4,chr6,116422011,+,GENCODE
NT5DC2,ENST00000307076.4,chr3,52569069,-,GENCODE
NT5DC2,ENST00000422318.2,chr3,52567792,-,GENCODE
NT5DC3,ENST00000392876.3,chr12,104234974,-,GENCODE
NT5DC4,ENST00000327581.4,chr2,113479062,+,GENCODE
NT5E,ENST00000257770.3,chr6,86159808,+,GENCODE
NT5M,ENST00000389022.4,chr17,17206648,+,GENCODE
NTAN1,ENST00000287706.3,chr16,15149920,-,GENCODE
NTF3,ENST00000423158.3,chr12,5541278,+,GENCODE
NTF4,ENST00000301411.3,chr19,49567123,-,GENCODE
NTF4,ENST00000593537.1,chr19,49565253,-,GENCODE
NTHL1,ENST00000219066.1,chr16,2097866,-,GENCODE
NTM,ENST00000374786.1,chr11,131780896,+,GENCODE
NTMT1,ENST00000372480.1,chr9,132388722,+,GENCODE
NTMT1,ENST00000372483.4,chr9,132388451,+,GENCODE
NTMT1,ENST00000372486.1,chr9,132371162,+,GENCODE
NTN1,ENST00000173229.2,chr17,8924858,+,GENCODE
NTN1,"ENST00000538852.1,ENST00000546090.1",chr17,8925586,+,GENCODE
NTN3,ENST00000293973.1,chr16,2521499,+,GENCODE
NTN4,ENST00000343702.4,chr12,96184535,-,GENCODE
NTN5,ENST00000270235.4,chr19,49176263,-,GENCODE
NTNG1,ENST00000370068.1,chr1,107683441,+,GENCODE
NTNG1,"ENST00000370073.2,ENST00000542803.1",chr1,107682633,+,GENCODE
NTNG2,ENST00000393228.4,chr9,135037333,+,GENCODE
NTPCR,ENST00000366628.5,chr1,233086369,+,GENCODE
NTRK1,"ENST00000358660.3,ENST00000524377.1",chr1,156830685,+,GENCODE
NTRK2,ENST00000323115.4,chr9,87285310,+,GENCODE
NTRK2,ENST00000376213.1,chr9,87283465,+,GENCODE
NTRK3,ENST00000355254.2,chr15,88799660,-,GENCODE
NTRK3,ENST00000394480.2,chr15,88799977,-,GENCODE
NTS,ENST00000256010.6,chr12,86268074,+,GENCODE
NTSR1,ENST00000370501.3,chr20,61340188,+,GENCODE
NTSR2,ENST00000306928.5,chr2,11810289,-,GENCODE
NUAK1,ENST00000261402.2,chr12,106533810,-,GENCODE
NUAK2,ENST00000367157.3,chr1,205290882,-,GENCODE
NUB1,ENST00000355851.4,chr7,151038857,+,GENCODE
NUBP1,ENST00000283027.5,chr16,10837701,+,GENCODE
NUBP2,ENST00000262302.9,chr16,1832901,+,GENCODE
NUBPL,ENST00000281081.7,chr14,32030600,+,GENCODE
NUCB1,ENST00000263273.5,chr19,49404040,+,GENCODE
NUCB1,ENST00000405315.4,chr19,49403306,+,GENCODE
NUCB1,ENST00000407032.1,chr19,49403576,+,GENCODE
NUCB2,"ENST00000323688.6,ENST00000529010.1",chr11,17298299,+,GENCODE
NUCKS1,ENST00000367142.4,chr1,205719403,-,GENCODE
NUDC,ENST00000321265.5,chr1,27248216,+,GENCODE
NUDCD1,ENST00000239690.4,chr8,110346613,-,GENCODE
NUDCD2,ENST00000302764.4,chr5,162887145,-,GENCODE
NUDCD3,ENST00000355451.7,chr7,44530478,-,GENCODE
NUDT1,ENST00000339737.2,chr7,2282539,+,GENCODE
NUDT1,"ENST00000356714.1,ENST00000397046.1",chr7,2281874,+,GENCODE
NUDT10,ENST00000356450.2,chrX,51075681,+,GENCODE
NUDT10,ENST00000376006.3,chrX,51075082,+,GENCODE
NUDT11,ENST00000375992.3,chrX,51239447,-,GENCODE
NUDT12,ENST00000230792.2,chr5,102898493,-,GENCODE
NUDT13,ENST00000357321.4,chr10,74870216,+,GENCODE
NUDT14,ENST00000392568.2,chr14,105647639,-,GENCODE
NUDT15,ENST00000258662.2,chr13,48611702,+,GENCODE
NUDT16,ENST00000521288.1,chr3,131100617,+,GENCODE
NUDT16L1,ENST00000304301.6,chr16,4743694,+,GENCODE
NUDT17,ENST00000334513.5,chr1,145589438,-,GENCODE
NUDT18,ENST00000309188.6,chr8,21966931,-,GENCODE
NUDT19,ENST00000397061.3,chr19,33182866,+,GENCODE
NUDT2,"ENST00000346365.4,ENST00000379155.5,ENST00000379158.2",chr9,34329503,+,GENCODE
NUDT21,ENST00000300291.5,chr16,56485286,-,GENCODE
NUDT22,ENST00000279206.3,chr11,63993761,+,GENCODE
NUDT3,ENST00000607016.1,chr6,34360450,-,GENCODE
NUDT4,"ENST00000337179.5,ENST00000415493.2",chr12,93771664,+,GENCODE
NUDT5,"ENST00000491614.1,ENST00000537776.1",chr10,12238132,-,GENCODE
NUDT6,ENST00000304430.5,chr4,123843760,-,GENCODE
NUDT7,ENST00000268533.5,chr16,77756410,+,GENCODE
NUDT8,"ENST00000301490.4,ENST00000376693.2",chr11,67397395,-,GENCODE
NUDT9,ENST00000302174.4,chr4,88343733,+,GENCODE
NUF2,"ENST00000271452.3,ENST00000367900.3",chr1,163291733,+,GENCODE
NUFIP1,ENST00000379161.4,chr13,45563617,-,GENCODE
NUFIP2,ENST00000225388.4,chr17,27621135,-,GENCODE
NUGGC,"ENST00000341513.6,ENST00000413272.2",chr8,27941387,-,GENCODE
NUMA1,ENST00000393695.3,chr11,71791732,-,GENCODE
NUMB,"ENST00000356296.4,ENST00000555394.1",chr14,73925254,-,GENCODE
NUMBL,ENST00000252891.4,chr19,41196555,-,GENCODE
NUP107,ENST00000229179.4,chr12,69080513,+,GENCODE
NUP133,ENST00000261396.3,chr1,229644087,-,GENCODE
NUP153,ENST00000262077.2,chr6,17706617,-,GENCODE
NUP155,ENST00000231498.3,chr5,37371282,-,GENCODE
NUP160,ENST00000378460.2,chr11,47870018,-,GENCODE
NUP188,ENST00000372577.2,chr9,131709977,+,GENCODE
NUP205,ENST00000285968.6,chr7,135242666,+,GENCODE
NUP210,ENST00000254508.5,chr3,13461808,-,GENCODE
NUP210L,ENST00000368559.3,chr1,154127591,-,GENCODE
NUP214,"ENST00000359428.5,ENST00000451030.1",chr9,134000963,+,GENCODE
NUP35,ENST00000295119.4,chr2,183989082,+,GENCODE
NUP37,ENST00000251074.1,chr12,102512360,-,GENCODE
NUP37,ENST00000552283.1,chr12,102513901,-,GENCODE
NUP43,"ENST00000340413.2,ENST00000460354.2",chr6,150067682,-,GENCODE
NUP50,ENST00000347635.4,chr22,45559721,+,GENCODE
NUP54,ENST00000264883.3,chr4,77069667,-,GENCODE
NUP62,"ENST00000352066.3,ENST00000422090.2",chr19,50432993,-,GENCODE
NUP62,"ENST00000413454.1,ENST00000596217.1,ENST00000597029.1",chr19,50432748,-,GENCODE
NUP62CL,ENST00000372466.4,chrX,106449662,-,GENCODE
NUP85,ENST00000245544.4,chr17,73201785,+,GENCODE
NUP88,ENST00000573584.1,chr17,5323479,-,GENCODE
NUP93,ENST00000308159.5,chr16,56764016,+,GENCODE
NUP98,ENST00000324932.7,chr11,3819021,-,GENCODE
NUPL1,ENST00000381718.3,chr13,25875770,+,GENCODE
NUPL2,ENST00000258742.5,chr7,23221445,+,GENCODE
NUPR1,ENST00000324873.6,chr16,28550494,-,GENCODE
NUPR1L,ENST00000329309.3,chr7,56184092,-,GENCODE
NUS1,ENST00000368494.3,chr6,117996664,+,GENCODE
NUSAP1,"ENST00000260359.6,ENST00000414849.2,ENST00000450592.2,ENST00000559596.1,ENST00000560747.1",chr15,41625035,+,GENCODE
NUSAP1,ENST00000560177.1,chr15,41625110,+,GENCODE
NUTF2,ENST00000219169.4,chr16,67880634,+,GENCODE
NUTF2,"ENST00000568396.2,ENST00000569436.2",chr16,67881088,+,GENCODE
NUTM1,ENST00000333756.4,chr15,34638065,+,GENCODE
NUTM2A,ENST00000381707.2,chr10,88985204,+,GENCODE
NUTM2B,ENST00000429828.1,chr10,81462982,+,GENCODE
NUTM2F,"ENST00000253262.4,ENST00000335456.7,ENST00000341207.4",chr9,97090925,-,GENCODE
NUTM2G,ENST00000354649.3,chr9,99690591,+,GENCODE
NUTM2G,ENST00000372322.3,chr9,99691285,+,GENCODE
NVL,ENST00000281701.6,chr1,224518088,-,GENCODE
NVL,ENST00000469075.1,chr1,224517839,-,GENCODE
NWD1,ENST00000339803.6,chr19,16855867,+,GENCODE
NWD1,"ENST00000379808.3,ENST00000523826.1,ENST00000552788.1",chr19,16842006,+,GENCODE
NWD1,"ENST00000524140.2,ENST00000549814.1",chr19,16830824,+,GENCODE
NXF1,ENST00000294172.2,chr11,62572963,-,GENCODE
NXF1,ENST00000532297.1,chr11,62573773,-,GENCODE
NXF2,"ENST00000330252.5,ENST00000395088.2",chrX,101470279,+,GENCODE
NXF2,ENST00000372757.1,chrX,101502169,+,GENCODE
NXF2,ENST00000372758.1,chrX,101478938,+,GENCODE
NXF2B,ENST00000372749.1,chrX,101694852,-,GENCODE
NXF2B,ENST00000372750.1,chrX,101718084,-,GENCODE
NXF2B,"ENST00000412230.2,ENST00000457521.2",chrX,101726731,-,GENCODE
NXF3,ENST00000395065.3,chrX,102348052,-,GENCODE
NXF5,ENST00000473265.2,chrX,101098170,-,GENCODE
NXF5,ENST00000537026.1,chrX,101112548,-,GENCODE
NXN,ENST00000336868.3,chr17,883009,-,GENCODE
NXNL1,ENST00000301944.2,chr19,17571762,-,GENCODE
NXNL2,ENST00000375854.3,chr9,91150015,+,GENCODE
NXPE1,ENST00000251921.2,chr11,114430579,-,GENCODE
NXPE2,ENST00000389586.4,chr11,114549107,+,GENCODE
NXPE3,ENST00000273347.5,chr3,101498073,+,GENCODE
NXPE3,ENST00000422132.1,chr3,101504243,+,GENCODE
NXPE3,ENST00000477909.1,chr3,101500549,+,GENCODE
NXPE3,ENST00000491511.2,chr3,101498285,+,GENCODE
NXPE4,"ENST00000375478.3,ENST00000424261.2",chr11,114466477,-,GENCODE
NXPH1,ENST00000405863.1,chr7,8473584,+,GENCODE
NXPH2,ENST00000272641.3,chr2,139537917,-,GENCODE
NXPH3,ENST00000328741.5,chr17,47653219,+,GENCODE
NXPH4,ENST00000349394.5,chr12,57610577,+,GENCODE
NXT1,ENST00000254998.2,chr20,23331372,+,GENCODE
NXT2,ENST00000372106.1,chrX,108780104,+,GENCODE
NYAP1,"ENST00000300179.2,ENST00000423930.1",chr7,100081549,+,GENCODE
NYAP2,ENST00000272907.6,chr2,226265363,+,GENCODE
NYNRIN,ENST00000382554.3,chr14,24867991,+,GENCODE
NYX,"ENST00000342595.2,ENST00000378220.1",chrX,41306699,+,GENCODE
OAF,ENST00000328965.4,chr11,120081474,+,GENCODE
OARD1,"ENST00000424266.2,ENST00000463088.1,ENST00000479950.1",chr6,41040277,-,GENCODE
OARD1,ENST00000468811.1,chr6,41039578,-,GENCODE
OAS1,"ENST00000202917.5,ENST00000445409.2,ENST00000452357.2",chr12,113344607,+,GENCODE
OAS2,"ENST00000342315.4,ENST00000392583.2",chr12,113416202,+,GENCODE
OAS3,ENST00000228928.7,chr12,113376156,+,GENCODE
OASL,ENST00000257570.5,chr12,121477044,-,GENCODE
OAT,ENST00000368845.5,chr10,126107504,-,GENCODE
OAZ1,ENST00000602676.2,chr19,2269518,+,GENCODE
OAZ2,ENST00000326005.6,chr15,64995479,-,GENCODE
OAZ3,"ENST00000315067.8,ENST00000321531.5",chr1,151735444,+,GENCODE
OBFC1,ENST00000224950.3,chr10,105677962,-,GENCODE
OBFC1,ENST00000369764.1,chr10,105677426,-,GENCODE
OBP2A,"ENST00000371776.1,ENST00000539850.1",chr9,138437992,+,GENCODE
OBP2B,ENST00000372034.3,chr9,136084627,-,GENCODE
OBSCN,"ENST00000284548.11,ENST00000366707.4,ENST00000366709.4,ENST00000422127.1",chr1,228395852,+,GENCODE
OBSCN,ENST00000359599.6,chr1,228444350,+,GENCODE
OBSCN,ENST00000366706.2,chr1,228464878,+,GENCODE
OBSCN,ENST00000441106.1,chr1,228522582,+,GENCODE
OBSCN,ENST00000474237.1,chr1,228540734,+,GENCODE
